Buyer State,Buyer County,Year,Total_MME
FL,PASCO,2014,727265.411241963
FL,PASCO,2015,722172.925636048
FL,PINELLAS,2006,13410625.84031247
FL,PINELLAS,2007,7517386.87058011
FL,PINELLAS,2008,277583001.01780325
FL,PINELLAS,2009,19890765.35705758
FL,PINELLAS,2010,95107930.04162204
FL,PINELLAS,2011,22431703.99601827
FL,PINELLAS,2012,452072938.6062267
FL,PINELLAS,2013,450250025.5870659
FL,PINELLAS,2014,5359316470.096976
FL,PINELLAS,2015,2653003746.5120974
FL,POLK,2006,8136394.398131564
FL,POLK,2007,10528402.56423836
FL,POLK,2008,10131470.317070046
FL,POLK,2009,15333535.289642988
FL,POLK,2010,29939324.320668906
FL,POLK,2011,16270117.03637583
FL,POLK,2012,7944726.187184164
FL,POLK,2013,5922480.516987681
FL,POLK,2014,6940264.445203746
FL,POLK,2015,9199600.418039167
FL,PUTNAM,2010,294497.7624704495
FL,PUTNAM,2011,155016.38101637425
FL,SANTA ROSA,2006,130694.48023666124
FL,SANTA ROSA,2007,152496.1767363382
FL,SANTA ROSA,2008,144677.8917955374
FL,SANTA ROSA,2009,153753.58327916576
FL,SANTA ROSA,2010,402416.5114810255
FL,SANTA ROSA,2011,189464.572389571
FL,SANTA ROSA,2012,185684.76676472774
FL,SANTA ROSA,2013,172615.16319355174
FL,SANTA ROSA,2014,177212.294689499
FL,SANTA ROSA,2015,173153.5983351965
FL,SARASOTA,2006,873279.3023934953
FL,SARASOTA,2007,561466.30045962
FL,SARASOTA,2008,1273388.7414660207
FL,SARASOTA,2009,672387.837289552
FL,SARASOTA,2010,1454590.7028995585
FL,SARASOTA,2011,743052.8974753325
FL,SARASOTA,2012,665888.9972588947
FL,SARASOTA,2013,645121.7961314025
FL,SARASOTA,2014,660288.685149491
FL,SARASOTA,2015,682574.8608618319
FL,SEMINOLE,2006,388480.76861454704
FL,SEMINOLE,2007,630628.5303481561
FL,SEMINOLE,2008,500898.6239971592
FL,SEMINOLE,2009,558450.199170106
FL,SEMINOLE,2010,1451381.8291799
FL,SEMINOLE,2011,777718.5944616655
FL,SEMINOLE,2012,468206.6842218415
FL,SEMINOLE,2013,422476.029272292
FL,SEMINOLE,2014,387079.3553255375
FL,SEMINOLE,2015,357285.221112444
FL,SUMTER,2015,108523.48631760075
FL,VOLUSIA,2006,2583072.1591965174
FL,VOLUSIA,2007,5648382.115867251
FL,VOLUSIA,2008,37070333.943865895
FL,VOLUSIA,2009,2760778.5584932608
FL,VOLUSIA,2010,6014282.460926281
FL,VOLUSIA,2011,2937977.3609315753
FL,VOLUSIA,2012,13046620.56632759
FL,VOLUSIA,2013,12135036.28876571
FL,VOLUSIA,2014,11607869.482297309
FL,VOLUSIA,2015,197321415.50175944
FL,WALTON,2006,44414.8447140995
FL,WALTON,2007,50351.47651967575
GA,BARROW,2006,42243.0344093385
GA,BARROW,2008,55182.235583369
GA,BARROW,2010,160178.323850576
GA,BARROW,2012,93406.8138811805
GA,BARROW,2014,98372.36879096049
GA,BARTOW,2008,119579.9367859347
GA,BARTOW,2010,306213.601552408
